Sr. No, Item,Price,Shipping Price
111,Samsung S24E200BL Black 23.6" TN Widescreen LCD Monitor  1920 x 1080 5ms 60 Hz Refresh Rate  16:9 Aspect Ratio  170/160 Viewing Angle  D-sub/DVI,$129.99 ,Free Shipping
112,SAMSUNG 390 Series C24F390 Glossy Black 24" 4ms HDMI Widescreen LCD/LED Monitor  AMD FreeSync  250cd/m2 DCR Mega Infinity (3000:1)  VESA Mountable  D-Sub  HDMI,$169.99 ,$0.99 Shipping
113,Acer B326HUL ymiidphz Black 32" 6ms WQHD Dual HDMI Widescreen LED Backlight LCD Monitor VA Panel 300 cd/m2 ACM 100 000 000:1 (3000:1)  Built-in Speakers & USB Hub 3.0  Height Adjustable,$473.99 ,Free Shipping
114,Acer V6 V246HL bmdp(UM.FV6AA.004) Black 24" 5ms Widescreen LED Backlight LCD Monitor,$144.72 ,Free Shipping
115,Samsung S24E200BL Black 23.6" TN Widescreen LCD Monitor  1920 x 1080 5ms 60 Hz Refresh Rate  16:9 Aspect Ratio  170/160 Viewing Angle  D-sub/DVI,$129.99 ,Free Shipping
116,Acer B226HQLAymdr Black 21.5" 8ms (GTG) Widescreen LED Backlight LCD Monitor,$131.70 ,Free Shipping
117,NEC Display Solutions AS203WMi-BK Black 20" 14ms Widescreen LED Backlight LCD Monitor AH-IPS,$139.99 ,Free Shipping
118,ViewEra V191BN-B Black 19" 5ms LCD Security Monitor,$224.99 ,$2.99 Shipping
119,ASUS VS197T-P Black 18.5" 5ms Widescreen LED Backlight LCD Monitor,$79.99 (,$1.99 Shipping
120,NEC Display MultiSync E223W-BK 22" LED LCD Monitor - 16:10 - 5 ms,$193.00 ,Free Shipping
121,NEC Display MultiSync EA193MI-BK 19” Professional IPS Integrated Speaker 1280 x 1024 5:4 Monitor with 6ms response rate  1000:1 contrast  DisplayPort  DVI-D  VGA,$206.26 ,$2.99 Shipping
122,NEC Display AccuSync AS172-BK 17" LED LCD Monitor - 5:4 - 5 ms,$140.20 ,Free Shipping
123,DELL SE2717Hx 27" Black IPS LCD/LED Monitor 1920 x 1080 Resolution with Narrow Bezel Edge-to-Edge Viewable Screen  16:9 Aspect Ratio  178/178deg. Viewing Angle and VGA/ HDMI (cable included),$154.99 ,Free Shipping
124,LG 29UM69G-B 29" FreeSync IPS WFHD Ultrawide Gaming Monitor  2560 x 1080  21:9  5ms  250 cd/m2  HDMI  USB-C  DisplayPort  Tilt  Height Adjustable  VESA Mountable,$249.99 ,Free Shipping
125,LG 25UM56-P 25" Class 21:9 UltraWide IPS Gaming Monitor 2560 x 1080 5ms GTG 60Hz 5 000 000:1 Contrast Ratio with Black Stabilizer and Dynamic Action Link  SRGB Over 99% and 4-Screen Split,$149.99 ,Free Shipping
126,MSI Optix G27C 27" Curved Black/Red 4ms (GTG) AMD FreeSync Gaming Monitor 1920 x 1080 144 Hz Refresh Rate  16:9 Aspect Ratio  110% sRGB  178 Degree Viewing Angle  DVI/HDMI/DisplayPort  Tilt Capable,$289.99 ,Free Shipping
127,Acer V226HQL Bbd Black  21.5"  5ms  LED Backlight LCD Monitor200 cd/m2  100 000 000:1,$89.99 (,$2.99 Shipping
128,ASUS ROG PG278QR Black 27" 1ms (GTG) 165Hz WQHD 2560x1440 NVIDIA G-Sync Gaming Monitor  VESA Mountable  USB 3.0  Tilt  Swivel  Pivot  Height Adjustable,$669.99 ,Free Shipping
129,LG 34UM64-P Black 34" 5ms(GTG) IPS 21:9 UltraWide LED Backlight LCD Multi-Tasking Monitor  2560x1080 (2K)  60Hz Refresh Rate sRGB 99% Anti-glare 3H Surface  4-Way Screen-Spilt with Built-in Speaker,$389.99 ,Free Shipping
130,LG 23MP48HQ-P Black 23" 5ms D-Sub HDMI Backlight LED Monitor AH-IPS 250 cd/m2,$99.99 (,Free Shipping
131,Dell Gaming S2417DG YNY1D 24-Inch Screen LED-Lit Monitor with G-SYNC,$359.99 ,Free Shipping
